id,name,lb,ub
EX_CE4881_e,Nitryl chloride exchange,-1000.0,1000.0
EX_CE4890_e,Exchange of N-Methylsalsolinol,-1000.0,1000.0
EX_CE4968_e,Exchange of Isovalerylglycine,-1000.0,1000.0
EX_CE4969_e,Exchange of Isobutyrylglycine,-1000.0,1000.0
EX_CE4970_e,Exchange of 2-Methylbutyrylglycine,-1000.0,1000.0
EX_CE5025_e,Exchange of 5-S-Glutathionyl-Dopamine,-1000.0,1000.0
EX_CE5026_e,Exchange of 5-S-Glutathionyl-L-Dopa,-1000.0,1000.0
EX_CE5072_e,Exchange of 21-Hydroxyallopregnanolone,-1000.0,1000.0
EX_CE5304_e,Exchange of 15-Deoxy-Pgd2,-1000.0,1000.0
EX_CE5629_e,"Exchange of 6, 7-Dihydroxy-1, 2, 3, 4-Tetrahydroisoquinoline",-1000.0,1000.0
EX_CE5643_e,Exchange of Peroxynitrite,-1000.0,1000.0
EX_CE5786_e,Kinetensin exchange,-1000.0,1000.0
EX_CE5787_e,Exchange of Kinetensin 1-3,-1000.0,1000.0
EX_CE5788_e,Kinetensin 1-7 exchange,-1000.0,1000.0
EX_CE5789_e,Kinetensin 1-8 exchange,-1000.0,1000.0
EX_CE5791_e,Exchange of Kinetensin 4-8,-1000.0,1000.0
EX_CE5797_e,Neuromedin N exchange,-1000.0,1000.0
EX_CE5798_e,Neuromedin N (1-4) exchange,-1000.0,1000.0
EX_CE5853_e,Alpha-CEHC-glucuronide exchange,-1000.0,1000.0
EX_CE5854_e,Gama-CEHC-glucuronide exchange,-1000.0,1000.0
EX_CE5867_e,N-acetyl-seryl-aspartyl-lysyl-proline exchange,-1000.0,1000.0
EX_CE5868_e,N-acetyl-seryl-aspartate exchange,-1000.0,1000.0
EX_CE5869_e,Lysyl-proline exchange,-1000.0,1000.0
EX_CE6031_e,Exchange of Androsterone Sulfate,-1000.0,1000.0
EX_CE6205_e,Exchange of 5-Methoxytryptophol,-1000.0,1000.0
EX_CE6247_e,"Exchange of 5, 12, 20-Trihete",-1000.0,1000.0
EX_CE7081_e,Exchange of 15(R)-HEPE,-1000.0,1000.0
EX_CE7082_e,Exchange of 15(S)-HEPE,-1000.0,1000.0
EX_CE7083_e,Exchange of Leukotriene B5,-1000.0,1000.0
EX_CE7085_e,"Exchange of (+-)-5-Hydroxy-6E,8Z,11Z,14Z,17Z-Eicosapentaenoic Acid",-1000.0,1000.0
EX_CE7090_e,"Exchange of 18R-Hydroxy-5Z,8Z,11Z,14Z,16E-Eicosapentaenoic Acid",-1000.0,1000.0
EX_CE7096_e,"Exchange of 5,15-Dihydroxyeicosatetraenoic Acid",-1000.0,1000.0
EX_CE7172_e,"Exchange of 14, 15-DIHETE",-1000.0,1000.0
EX_HC00004_e,ApoA1 exchange,-1000.0,1000.0
EX_HC00005_e,Exchange of ApoB100,-1000.0,1000.0
EX_HC00006_e,Exchange of Apo C1,-1000.0,1000.0
EX_HC00007_e,Exchange of Apo C2,-1000.0,1000.0
EX_HC00008_e,Exchange of Apo C3,-1000.0,1000.0
EX_HC00009_e,Exchange of Apo E,-1000.0,1000.0
