entrez_id,gene_name,confidence,label
11928,Atp1a1,3,HC
27222,Atp1a4,0,NC
11932,Atp1b2,3,HC
20544,Slc9a1,3,HC
105243,Slc9a3,0,NC
226999,Slc9a2,3,HC
338403,Cndp1,-1,LC
66054,Cndp2,3,HC
20497,Slc12a3,3,HC
238384,Slc24a4,-1,LC
94249,Slc24a3,3,HC
214111,Slc24a1,-1,LC
76376,Slc24a2,3,HC
76025,Cant1,3,HC
66422,Dctpp1,3,HC
67464,Entpd4,3,HC
100862375,Entpd4b,0,NC
21915,Dtymk,3,HC
79059,Nme3,3,HC
18103,Nme2,0,NC
18102,Nme1,3,HC
54369,Nme6,3,HC
171567,Nme7,3,HC
56520,Nme4,3,HC
58176,Rhbg,1,MC
19743,Rhag,3,HC
20495,Slc12a1,-1,LC
20496,Slc12a2,3,HC
74080,Nmnat3,3,HC
66454,Nmnat1,3,HC
226518,Nmnat2,3,HC
59027,Nampt,3,HC
18113,Nnmt,3,HC
18948,Pnmt,-1,LC
18127,Nos3,3,HC
18125,Nos1,3,HC
18126,Nos2,-1,LC
667034,Pnp2,0,NC
18950,Pnp,3,HC
20517,Slc22a1,3,HC
20445,St6galnac1,3,HC
50773,Nt5c,3,HC
18675,Phex,-1,LC
103850,Nt5m,3,HC
23959,Nt5e,3,HC
69983,Sis,0,NC
18416,Otc,-1,LC
67041,Oxct1,3,HC
353371,Oxct2b,0,NC
13171,Dbt,3,HC
12040,Bckdhb,3,HC
12039,Bckdha,3,HC
75475,Oplah,3,HC
18242,Oat,3,HC
22247,Umps,3,HC
13521,Slc26a2,3,HC
231583,Slc26a1,-1,LC
13487,Slc26a3,-1,LC
13070,Cyp11a1,-1,LC
13072,Cyp11b2,-1,LC
110115,Cyp11b1,-1,LC
13074,Cyp17a1,-1,LC
13075,Cyp19a1,-1,LC
56388,Cyp3a25,-1,LC
13113,Cyp3a13,3,HC
13114,Cyp3a16,-1,LC
337924,Cyp3a44,3,HC
13112,Cyp3a11,-1,LC
100041449,Cyp3a59,0,NC
622127,Cyp3a57,0,NC
100041375,Cyp3a41b,0,NC
13079,Cyp21a1,1,MC
104086,Cyp27a1,3,HC
13086,Cyp2a4,0,NC
13087,Cyp2a5,0,NC
72082,Cyp2c55,-1,LC
13097,Cyp2c38,-1,LC
13098,Cyp2c39,-1,LC
69888,Cyp2c66,0,NC
72303,Cyp2c65,0,NC
56448,Cyp2d22,3,HC
13107,Cyp2f2,3,HC
56050,Cyp39a1,3,HC
53973,Cyp3a41a,0,NC
13116,Cyp46a1,1,MC
64385,Cyp4f14,-1,LC
170716,Cyp4f13,3,HC
72054,Cyp4f18,3,HC
13123,Cyp7b1,-1,LC
13124,Cyp8b1,-1,LC
209027,Pycr1,0,NC
100163,Pafah2,3,HC
18475,Pafah1b2,3,HC
18476,Pafah1b3,3,HC
18472,Pafah1b1,3,HC
27226,Pla2g7,3,HC
73836,Slc35b2,3,HC
11982,Atp10a,3,HC
18806,Pld2,3,HC
18805,Pld1,3,HC
266645,Acmsd,0,NC
18563,Pcx,3,HC
18670,Abcb4,3,HC
54611,Pde3a,1,MC
18578,Pde4b,3,HC
18584,Pde8a,3,HC
18574,Pde1b,3,HC
18583,Pde7a,3,HC
110385,Pde4c,0,NC
18575,Pde1c,3,HC
238871,Pde4d,0,NC
18573,Pde1a,1,MC
18576,Pde3b,3,HC
23984,Pde10a,1,MC
18577,Pde4a,3,HC
207728,Pde2a,3,HC
29863,Pde7b,3,HC
241489,Pde11a,0,NC
218461,Pde8b,3,HC
110855,Pde6c,3,HC
18585,Pde9a,3,HC
242202,Pde5a,0,NC
225600,Pde6a,-1,LC
18587,Pde6b,1,MC
78600,Pde6h,-1,LC
18582,Pde6d,3,HC
18588,Pde6g,3,HC
18598,Pdha2,-1,LC
68263,Pdhb,3,HC
235339,Dlat,3,HC
18597,Pdha1,3,HC
103711,Pnpo,3,HC
11980,Atp8a1,3,HC
18534,Pck1,3,HC
74551,Pck2,3,HC
80911,Acox3,3,HC
68671,Pcyt2,3,HC
18618,Pemt,1,MC
236539,Phgdh,3,HC
19215,Ptgds,3,HC
54486,Hpgds,3,HC
96979,Ptges2,3,HC
64292,Ptges,-1,LC
19223,Ptgis,3,HC
66461,Ptpmt1,3,HC
74451,Pgs1,3,HC
19225,Ptgs2,-1,LC
19224,Ptgs1,3,HC
234724,Tat,-1,LC
18478,Pah,-1,LC
16922,Phyh,3,HC
19211,Pten,3,HC
20975,Synj2,3,HC
18720,Pip5k1a,3,HC
18717,Pip5k1c,3,HC
18719,Pip5k1b,3,HC
84095,Pi4k2a,3,HC
224020,Pi4ka,3,HC
107650,Pi4kb,3,HC
74769,Pik3cb,3,HC
18708,Pik3r1,3,HC
18707,Pik3cd,3,HC
18710,Pik3r3,3,HC
18709,Pik3r2,3,HC
18706,Pik3ca,0,NC
23900,Hcst,-1,LC
30955,Pik3cg,-1,LC
320207,Pik3r5,3,HC
320634,Ocrl,3,HC
18795,Plcb1,3,HC
234779,Plcg2,3,HC
269615,Plch2,-1,LC
72469,Plcd3,3,HC
114875,Plcz1,-1,LC
18802,Plcd4,3,HC
18796,Plcb2,3,HC
18803,Plcg1,0,NC
74055,Plce1,3,HC
18799,Plcd1,3,HC
18798,Plcb4,3,HC
18797,Plcb3,3,HC
227120,Plcl1,0,NC
433022,Plcxd2,3,HC
269437,Plch1,-1,LC
18711,Pikfyve,3,HC
108083,Pip4k2b,3,HC
117150,Pip4k2c,3,HC
18718,Pip4k2a,3,HC
53357,Pla2g6,3,HC
18780,Pla2g2a,3,HC
66350,Pla2g12a,3,HC
18784,Pla2g5,3,HC
26971,Pla2g2f,1,MC
211429,Pla2g4b,1,MC
329502,Pla2g4e,3,HC
18778,Pla2g1b,-1,LC
18782,Pla2g2d,-1,LC
26565,Pla2g10,3,HC
26970,Pla2g2e,-1,LC
68603,Pmvk,3,HC
271424,Ip6k3,3,HC
27399,Ip6k1,3,HC
76500,Ip6k2,3,HC
74776,Ppa2,3,HC
50784,Plpp2,3,HC
19012,Plpp1,3,HC
67916,Plpp3,3,HC
19044,Ppox,3,HC
13861,Epx,-1,LC
11758,Prdx6,3,HC
17523,Mpo,3,HC
19125,Prodh,3,HC
24059,Slco2a1,3,HC
320951,Pisd,3,HC
19210,Ptdss1,3,HC
27388,Ptdss2,3,HC
171210,Acot2,3,HC
170789,Acot8,3,HC
171282,Acot4,1,MC
19286,Pts,3,HC
20229,Sat1,0,NC
